id,name,input,compiler,threads,real,usr,sys,cores
286,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.029s,0m0.006s,25
287,ferret,simsmall,gcc-pthreads,2,0m0.264s,0m0.348s,0m0.018s,25
288,ferret,simmedium,gcc-pthreads,2,0m0.779s,0m1.279s,0m0.050s,25
289,ferret,simlarge,gcc-pthreads,2,0m3.228s,0m6.583s,0m0.145s,25
290,ferret,native,gcc-pthreads,2,4m55.803,6m20.158,0m2.174s,25
291,ferret,simdev,gcc-pthreads,2,0m0.021s,0m0.028s,0m0.003s,26
292,ferret,simsmall,gcc-pthreads,2,0m0.292s,0m0.382s,0m0.016s,26
293,ferret,simmedium,gcc-pthreads,2,0m0.780s,0m1.250s,0m0.042s,26
294,ferret,simlarge,gcc-pthreads,2,0m3.024s,0m6.174s,0m0.149s,26
295,ferret,native,gcc-pthreads,2,4m59.130,6m40.953,0m2.442s,26
296,ferret,simdev,gcc-pthreads,2,0m0.020s,0m0.026s,0m0.005s,27
297,ferret,simsmall,gcc-pthreads,2,0m0.260s,0m0.338s,0m0.020s,27
298,ferret,simmedium,gcc-pthreads,2,0m0.717s,0m1.154s,0m0.044s,27
299,ferret,simlarge,gcc-pthreads,2,0m2.942s,0m6.285s,0m0.107s,27
300,ferret,native,gcc-pthreads,2,4m45.608,6m24.326,0m1.921s,27
301,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.027s,0m0.008s,28
302,ferret,simsmall,gcc-pthreads,2,0m0.276s,0m0.358s,0m0.020s,28
303,ferret,simmedium,gcc-pthreads,2,0m0.745s,0m1.241s,0m0.044s,28
304,ferret,simlarge,gcc-pthreads,2,0m3.037s,0m6.712s,0m0.130s,28
305,ferret,native,gcc-pthreads,2,4m45.353,6m23.320,0m2.740s,28
306,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.028s,0m0.004s,29
307,ferret,simsmall,gcc-pthreads,2,0m0.259s,0m0.336s,0m0.020s,29
308,ferret,simmedium,gcc-pthreads,2,0m0.730s,0m1.186s,0m0.059s,29
309,ferret,simlarge,gcc-pthreads,2,0m3.178s,0m6.640s,0m0.145s,29
310,ferret,native,gcc-pthreads,2,4m59.309,6m34.280,0m2.570s,29
311,ferret,simdev,gcc-pthreads,2,0m0.025s,0m0.029s,0m0.009s,30
312,ferret,simsmall,gcc-pthreads,2,0m0.260s,0m0.345s,0m0.013s,30
313,ferret,simmedium,gcc-pthreads,2,0m0.738s,0m1.201s,0m0.047s,30
314,ferret,simlarge,gcc-pthreads,2,0m2.978s,0m6.438s,0m0.150s,30
315,ferret,native,gcc-pthreads,2,5m1.949s,6m31.070,0m2.679s,30
316,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.030s,0m0.005s,31
317,ferret,simsmall,gcc-pthreads,2,0m0.265s,0m0.353s,0m0.017s,31
